时间,事件类型,边界框,置信度,目标类别
2025-04-05 15:01:47.934,检测,"[580.1824340820312, 327.457275390625, 660.8364868164062, 404.2572021484375]",0.6,car
2025-04-05 15:01:47.982,检测,"[625.948974609375, 348.0433349609375, 804.40185546875, 485.318115234375]",0.849,car
2025-04-05 15:01:47.982,检测,"[320.773193359375, 339.6673583984375, 539.5189819335938, 487.769287109375]",0.819,car
2025-04-05 15:01:47.983,检测,"[582.328369140625, 327.2430419921875, 662.398681640625, 405.701904296875]",0.629,car
2025-04-05 15:01:48.019,检测,"[626.5418701171875, 349.44451904296875, 805.7686767578125, 482.50604248046875]",0.837,car
2025-04-05 15:01:48.019,检测,"[324.22265625, 341.44036865234375, 541.5371704101562, 487.69793701171875]",0.828,car
2025-04-05 15:01:48.020,检测,"[584.812744140625, 329.4306640625, 664.01171875, 407.02996826171875]",0.73,car
2025-04-05 15:01:48.035,检测,"[327.3319091796875, 343.17706298828125, 542.97021484375, 489.657470703125]",0.851,car
2025-04-05 15:01:48.036,检测,"[628.2008056640625, 351.2406005859375, 808.1070556640625, 485.916015625]",0.843,car
2025-04-05 15:01:48.036,检测,"[585.5863647460938, 331.6810607910156, 665.8154907226562, 411.7256774902344]",0.703,car
2025-04-05 15:01:48.054,检测,"[627.3187255859375, 351.6741943359375, 807.7188720703125, 492.282470703125]",0.841,car
2025-04-05 15:01:48.055,检测,"[332.1962890625, 344.47821044921875, 543.1497802734375, 490.69677734375]",0.839,car
2025-04-05 15:01:48.055,检测,"[585.6429443359375, 334.2463684082031, 665.5902099609375, 413.8100891113281]",0.684,car
2025-04-05 15:01:48.088,检测,"[331.06488037109375, 346.667724609375, 543.260009765625, 493.65087890625]",0.866,car
2025-04-05 15:01:48.089,检测,"[627.4615478515625, 353.6234130859375, 807.2008056640625, 492.6912841796875]",0.839,car
2025-04-05 15:01:48.089,检测,"[585.8071899414062, 335.60748291015625, 664.8052368164062, 414.38323974609375]",0.621,car
2025-04-05 15:01:48.112,检测,"[330.9820556640625, 348.24444580078125, 542.7049560546875, 494.700927734375]",0.872,car
2025-04-05 15:01:48.113,检测,"[627.2896728515625, 355.74615478515625, 805.244873046875, 492.64739990234375]",0.839,car
2025-04-05 15:01:48.113,检测,"[585.5947265625, 336.0713806152344, 664.35205078125, 415.8381652832031]",0.665,car
2025-04-05 15:01:48.131,检测,"[330.640380859375, 348.92706298828125, 541.3121948242188, 495.00653076171875]",0.872,car
2025-04-05 15:01:48.131,检测,"[626.8776245117188, 356.64361572265625, 803.2301635742188, 488.98736572265625]",0.823,car
2025-04-05 15:01:48.132,检测,"[585.0701904296875, 337.076171875, 662.5670166015625, 416.218017578125]",0.685,car
2025-04-05 15:01:48.152,检测,"[327.35064697265625, 349.13232421875, 540.0805053710938, 494.906005859375]",0.872,car
2025-04-05 15:01:48.154,检测,"[626.6351318359375, 356.845947265625, 802.1380615234375, 489.080322265625]",0.835,car
2025-04-05 15:01:48.154,检测,"[583.2262573242188, 337.2669677734375, 661.5615844726562, 416.98297119140625]",0.684,car
2025-04-05 15:01:48.178,检测,"[323.83758544921875, 348.97320556640625, 537.9207763671875, 495.337158203125]",0.883,car
2025-04-05 15:01:48.179,检测,"[623.2349853515625, 356.593017578125, 800.4786376953125, 489.090087890625]",0.814,car
2025-04-05 15:01:48.179,检测,"[579.3740844726562, 336.84326171875, 659.8165893554688, 417.2420654296875]",0.588,car
2025-04-05 15:01:48.199,检测,"[324.033203125, 348.284423828125, 532.6112060546875, 494.4384765625]",0.888,car
2025-04-05 15:01:48.199,检测,"[618.5020751953125, 355.51373291015625, 796.3961181640625, 492.42059326171875]",0.835,car
2025-04-05 15:01:48.200,检测,"[576.0748291015625, 337.22222900390625, 655.5628662109375, 415.15594482421875]",0.503,car
2025-04-05 15:01:48.222,检测,"[316.39691162109375, 347.470458984375, 528.7586059570312, 492.85089111328125]",0.88,car
2025-04-05 15:01:48.223,检测,"[612.2069091796875, 353.91455078125, 792.4464111328125, 492.30450439453125]",0.817,car
2025-04-05 15:01:48.223,检测,"[570.637939453125, 336.33758544921875, 650.7464599609375, 415.17095947265625]",0.694,car
2025-04-05 15:01:48.243,检测,"[312.336181640625, 346.28216552734375, 523.0073852539062, 490.59844970703125]",0.853,car
2025-04-05 15:01:48.244,检测,"[608.383544921875, 352.1307373046875, 785.5185546875, 488.416015625]",0.809,car
2025-04-05 15:01:48.244,检测,"[566.81787109375, 335.40185546875, 646.6680908203125, 414.66357421875]",0.718,car
2025-04-05 15:01:48.261,检测,"[301.46893310546875, 343.48712158203125, 519.518310546875, 488.4205322265625]",0.882,car
2025-04-05 15:01:48.261,检测,"[605.2999267578125, 351.38421630859375, 779.85888671875, 486.02923583984375]",0.841,car
2025-04-05 15:01:48.262,检测,"[562.4505615234375, 332.4854736328125, 640.6253662109375, 411.532470703125]",0.653,car
2025-04-05 15:01:48.281,检测,"[598.876708984375, 349.3464050292969, 775.883056640625, 482.2702941894531]",0.853,car
2025-04-05 15:01:48.282,检测,"[302.2783203125, 340.5968017578125, 514.8072509765625, 486.1661376953125]",0.831,car
2025-04-05 15:01:48.282,检测,"[557.8428955078125, 330.623046875, 637.0810546875, 406.853271484375]",0.693,car
2025-04-05 15:01:48.300,检测,"[298.763916015625, 338.0536193847656, 512.5721435546875, 484.4927673339844]",0.874,car
2025-04-05 15:01:48.301,检测,"[597.5457763671875, 348.6761474609375, 774.3629150390625, 478.926513671875]",0.851,car
2025-04-05 15:01:48.301,检测,"[554.8900756835938, 328.34552001953125, 633.6456909179688, 404.74346923828125]",0.571,car
2025-04-05 15:01:48.319,检测,"[596.3514404296875, 347.06927490234375, 769.8197021484375, 475.23651123046875]",0.853,car
2025-04-05 15:01:48.319,检测,"[298.72308349609375, 335.7010498046875, 510.86553955078125, 483.152587890625]",0.849,car
2025-04-05 15:01:48.320,检测,"[552.7291259765625, 325.25433349609375, 629.6346435546875, 403.75616455078125]",0.608,car
2025-04-05 15:01:48.339,检测,"[295.98968505859375, 335.2600402832031, 508.08026123046875, 482.4919738769531]",0.874,car
2025-04-05 15:01:48.339,检测,"[594.1978759765625, 343.73291015625, 768.9136962890625, 475.2381591796875]",0.851,car
2025-04-05 15:01:48.340,检测,"[549.7088623046875, 323.8470458984375, 627.8167724609375, 403.0792236328125]",0.618,car
2025-04-05 15:01:48.361,检测,"[294.75994873046875, 335.3813781738281, 509.1322021484375, 482.2757263183594]",0.884,car
2025-04-05 15:01:48.362,检测,"[593.446533203125, 344.5213623046875, 767.413818359375, 473.6783447265625]",0.851,car
2025-04-05 15:01:48.362,检测,"[548.8438720703125, 324.44708251953125, 628.6470947265625, 404.84954833984375]",0.581,car
2025-04-05 15:01:48.382,检测,"[295.7401123046875, 336.041015625, 509.2298583984375, 483.22235107421875]",0.879,car
2025-04-05 15:01:48.382,检测,"[593.668701171875, 346.26837158203125, 767.104736328125, 473.3310546875]",0.867,car
2025-04-05 15:01:48.382,检测,"[548.7893676757812, 325.14813232421875, 628.0680541992188, 405.39337158203125]",0.606,car
2025-04-05 15:01:48.404,检测,"[296.50238037109375, 336.92303466796875, 509.21759033203125, 483.61810302734375]",0.866,car
2025-04-05 15:01:48.405,检测,"[594.7112426757812, 347.0093994140625, 768.7619018554688, 474.3460693359375]",0.863,car
2025-04-05 15:01:48.405,检测,"[549.142333984375, 326.395263671875, 629.306396484375, 406.54833984375]",0.617,car
2025-04-05 15:01:48.425,检测,"[296.03851318359375, 338.536376953125, 510.39703369140625, 484.76416015625]",0.881,car
2025-04-05 15:01:48.426,检测,"[594.7341918945312, 347.80743408203125, 769.7434692382812, 478.07012939453125]",0.857,car
2025-04-05 15:01:48.426,检测,"[551.0159301757812, 327.2843933105469, 629.4351196289062, 405.0386047363281]",0.611,car
2025-04-05 15:01:48.444,检测,"[596.2078857421875, 349.52227783203125, 771.3631591796875, 477.71380615234375]",0.86,car
2025-04-05 15:01:48.445,检测,"[298.4464111328125, 340.52105712890625, 510.8448486328125, 486.01507568359375]",0.845,car
2025-04-05 15:01:48.445,检测,"[552.0482177734375, 328.5108642578125, 630.8487548828125, 406.939208984375]",0.677,car
2025-04-05 15:01:48.463,检测,"[299.34735107421875, 341.43646240234375, 511.74114990234375, 487.6827392578125]",0.897,car
2025-04-05 15:01:48.463,检测,"[595.0306396484375, 349.33367919921875, 771.72998046875, 481.98443603515625]",0.856,car
2025-04-05 15:01:48.463,检测,"[553.2701416015625, 330.47576904296875, 632.214599609375, 408.79669189453125]",0.704,car
2025-04-05 15:01:48.482,检测,"[300.85784912109375, 342.6378173828125, 512.1846923828125, 488.68670654296875]",0.901,car
2025-04-05 15:01:48.483,检测,"[596.052490234375, 350.0846862792969, 773.3438720703125, 483.6155090332031]",0.849,car
2025-04-05 15:01:48.484,检测,"[554.000244140625, 331.26934814453125, 634.226318359375, 411.33782958984375]",0.704,car
2025-04-05 15:01:48.500,检测,"[299.5823974609375, 343.1180419921875, 512.775390625, 490.436767578125]",0.909,car
